"","Tissue","ComparisonFactor7","Spearman_Rho_chosen_Factor","P_ValueFactor7","AsterisksFactor7","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",-0.0697660094117043,0.089893551850668,"ns","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",0.295092648774579,3.05467791294188e-11,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",-0.0437328948689104,0.387245740712839,"ns","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",0.189966598858074,0.00599055901013937,"**","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",-0.0557942153143354,0.165619233297899,"ns","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",0.0504032598913818,0.572064853255939,"ns","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",0.0486889952177026,0.559488928031809,"ns","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.0430530832167224,0.516825348839613,"ns","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",-0.0244840950728776,0.719861516526726,"ns","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",-0.0947129646807256,0.198478848256332,"ns","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",0.0236751544662877,0.763480796108834,"ns","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.236920540306703,0.00149827054963495,"**","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",-0.00455282595069876,0.946343552373261,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",0.00240802057906081,0.974406691537594,"ns","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",0.046723773999945,0.572816906473086,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
"16","brain_substantia_nigra","chosen_Factor",-0.03539835360424,0.7147952942211,"ns","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",-0.142455068073399,0.00482304992893935,"**","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",-0.0374154906149588,0.512984002629203,"ns","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",-0.18703233739535,0.000435423342890834,"***","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",0.0316829006565088,0.568680776019291,"ns","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",-0.133208688434356,0.00229018598677274,"**","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",0.043618209646464,0.352725382007794,"ns","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",-0.0240038119179916,0.630484485237045,"ns","GDF15",0.321554376054576,3.59790136811034e-11,"****"
"24","heart_left_ventricle","chosen_Factor",-0.217400567526981,2.52617433478629e-05,"****","GDF15",0.320990553914715,2.73793617368817e-10,"****"
"25","kidney_cortex","chosen_Factor",-0.0712369013854998,0.61223144160204,"ns","GDF15",0.125804771455299,0.369395229441814,"ns"
"26","liver","chosen_Factor",-0.053068790577457,0.46356900913182,"ns","GDF15",0.162100167517196,0.0243061377490361,"*"
"27","lung","chosen_Factor",-0.141531328575732,0.00111073511784888,"**","GDF15",-0.0367533591847516,0.399334078645282,"ns"
"28","minor_salivary_gland","chosen_Factor",-0.176548730257453,0.0250698091417886,"*","GDF15",-0.0401122213922727,0.613415111890649,"ns"
"29","muscle_skeletal","chosen_Factor",0.053361840405446,0.132522490792069,"ns","GDF15",0.259982478675933,9.19404908558013e-14,"****"
"30","nerve_tibial","chosen_Factor",0.00985169446946753,0.817685655633397,"ns","GDF15",0.233757679010047,2.91181302835661e-08,"****"
"31","ovary","chosen_Factor",0.302760972505897,6.63630319649948e-05,"****","GDF15",0.251910428283747,0.000987577828351321,"***"
"32","pancreas","chosen_Factor",-0.033725083614093,0.561318761623256,"ns","GDF15",0.0300075470776763,0.605280428499354,"ns"
"33","pituitary","chosen_Factor",0.0210974347368313,0.735915621386056,"ns","GDF15",0.306249057492455,5.26903823506399e-07,"****"
"34","prostate","chosen_Factor",0.0369634645759067,0.612634078499265,"ns","GDF15",0.122834953792036,0.0913364367957666,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",0.152789065150843,0.000257340111553425,"***","GDF15",0.23208863952013,2.19721375415913e-08,"****"
"36","skin_sun_exposed_lower_leg","chosen_Factor",-0.0330210411322764,0.394522015073777,"ns","GDF15",0.222645276723525,6.15690805199979e-09,"****"
"37","small_intestine_terminal_ileum","chosen_Factor",-0.0235674415982978,0.756882886600282,"ns","GDF15",0.249580572949258,0.000865811732911356,"***"
"38","spleen","chosen_Factor",-0.0687300229104682,0.334750403809516,"ns","GDF15",0.131440959918681,0.0642330162891706,"ns"
"39","stomach","chosen_Factor",0.0726840563514867,0.204080055113092,"ns","GDF15",0.15189227765014,0.0076760346690849,"**"
"40","testis","chosen_Factor",-0.0138644743834737,0.807900968867529,"ns","GDF15",0.419392290296346,1.23050816227287e-14,"****"
"41","thyroid","chosen_Factor",0.0189663105664631,0.649084158145719,"ns","GDF15",0.444778087147356,1.99302141417484e-29,"****"
"42","uterus","chosen_Factor",0.323064628160557,0.000211720765966126,"***","GDF15",0.242279421461664,0.00606277621699061,"**"
"43","vagina","chosen_Factor",0.366792795836993,1.0408259870945e-05,"****","GDF15",0.226146209043457,0.00787840824874698,"**"
"44","whole_blood","chosen_Factor",-0.28157038764662,4.62415406799674e-15,"****","GDF15",0.201586006053195,2.79528100296524e-08,"****"
