"","Tissue","ComparisonFactor1","Spearman_Rho_chosen_Factor","P_ValueFactor1","AsterisksFactor1","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",0.175792750748906,1.69473067074616e-05,"****","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",0.115062665598782,0.0110494369830843,"*","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",0.37609257096778,1.18964611024255e-14,"****","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",0.11530655214627,0.0972186912574683,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",0.138218645203522,0.000563805066666935,"***","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",0.262484272154596,0.00276063410193397,"**","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",0.262928681929932,0.00134463809965399,"**","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.225452393453278,0.000587314979261252,"***","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",0.282192758153251,2.45372544445844e-05,"****","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",0.280918761514155,0.000102795801107035,"***","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",0.192337815699771,0.0136110298899196,"*","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",0.312470392433605,2.29359647541478e-05,"****","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",0.241877364404001,0.000284064639842191,"***","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",0.208831413425916,0.0049030532512804,"**","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",0.127779719051567,0.121699794373904,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
"16","brain_substantia_nigra","chosen_Factor",0.153348006666506,0.111390601690912,"ns","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",0.309807952420122,4.02418858894806e-10,"****","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",0.149573832237776,0.00856003907939112,"**","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",0.221111653190157,2.9983202148362e-05,"****","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",0.233499496924563,2.05559891822143e-05,"****","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",0.265804343685005,6.84257831306063e-10,"****","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",0.204643740881188,1.05929773233876e-05,"****","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",0.196611352542668,6.93532921216211e-05,"****","GDF15",0.321554376054576,3.59790136811034e-11,"****"
"24","heart_left_ventricle","chosen_Factor",0.230933272570269,7.40312238679987e-06,"****","GDF15",0.320990553914715,2.73793617368817e-10,"****"
"25","kidney_cortex","chosen_Factor",0.296531169676638,0.031079474533903,"*","GDF15",0.125804771455299,0.369395229441814,"ns"
"26","liver","chosen_Factor",0.171433807254915,0.0171331185126327,"*","GDF15",0.162100167517196,0.0243061377490361,"*"
"27","lung","chosen_Factor",0.157691963038969,0.000275102854394537,"***","GDF15",-0.0367533591847516,0.399334078645282,"ns"
"28","minor_salivary_gland","chosen_Factor",0.000418644875731703,0.995794675016972,"ns","GDF15",-0.0401122213922727,0.613415111890649,"ns"
"29","muscle_skeletal","chosen_Factor",0.118690214489908,0.00079288261158778,"***","GDF15",0.259982478675933,9.19404908558013e-14,"****"
"30","nerve_tibial","chosen_Factor",0.00986645083272374,0.817417376701315,"ns","GDF15",0.233757679010047,2.91181302835661e-08,"****"
"31","ovary","chosen_Factor",0.126134367890533,0.103271595785883,"ns","GDF15",0.251910428283747,0.000987577828351321,"***"
"32","pancreas","chosen_Factor",0.146629899986727,0.0111302311955161,"*","GDF15",0.0300075470776763,0.605280428499354,"ns"
"33","pituitary","chosen_Factor",0.247950375882244,5.66404574641027e-05,"****","GDF15",0.306249057492455,5.26903823506399e-07,"****"
"34","prostate","chosen_Factor",0.142299449722177,0.0501717201896686,"ns","GDF15",0.122834953792036,0.0913364367957666,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",0.114180287445717,0.00644672771191289,"**","GDF15",0.23208863952013,2.19721375415913e-08,"****"
"36","skin_sun_exposed_lower_leg","chosen_Factor",0.0307934507205672,0.427207758914965,"ns","GDF15",0.222645276723525,6.15690805199979e-09,"****"
"37","small_intestine_terminal_ileum","chosen_Factor",0.213524918546996,0.00455079235231076,"**","GDF15",0.249580572949258,0.000865811732911356,"***"
"38","spleen","chosen_Factor",0.127682173709121,0.0723046726893575,"ns","GDF15",0.131440959918681,0.0642330162891706,"ns"
"39","stomach","chosen_Factor",0.0513315082379198,0.370080386896913,"ns","GDF15",0.15189227765014,0.0076760346690849,"**"
"40","testis","chosen_Factor",0.25648471629053,4.77621962808403e-06,"****","GDF15",0.419392290296346,1.23050816227287e-14,"****"
"41","thyroid","chosen_Factor",0.312279137137994,1.53662335877983e-14,"****","GDF15",0.444778087147356,1.99302141417484e-29,"****"
"42","uterus","chosen_Factor",0.171602256769101,0.0537217609058747,"ns","GDF15",0.242279421461664,0.00606277621699061,"**"
"43","vagina","chosen_Factor",0.175924956525708,0.0397489566241367,"*","GDF15",0.226146209043457,0.00787840824874698,"**"
"44","whole_blood","chosen_Factor",0.374600845023723,2.8916929259245e-26,"****","GDF15",0.201586006053195,2.79528100296524e-08,"****"
