"","Tissue","ComparisonFactor5","Spearman_Rho_chosen_Factor","P_ValueFactor5","AsterisksFactor5","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",-0.15296841423405,0.000186952020394791,"***","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",0.26025827188802,5.56289170144894e-09,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",0.0605958182508858,0.230706665545514,"ns","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",0.0974420533691861,0.161455044757432,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",-0.33280883177651,1.78264438397073e-17,"****","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",-0.0814175654264563,0.360918444246452,"ns","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",-0.0035384556432499,0.966189436457735,"ns","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",-0.0015594557854781,0.981275589443883,"ns","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",0.084135901324922,0.217042425100592,"ns","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",0.0512831772810551,0.4869600737334,"ns","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",-0.00538145986056282,0.945475438819009,"ns","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.157081813022853,0.0367968403957704,"*","GDF15",0.227012469534931,0.00237697674437387,"**"
