"","Tissue","ComparisonFactor5","Spearman_Rho_chosen_Factor","P_ValueFactor5","AsterisksFactor5","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",-0.0585985759034631,0.385977285568813,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",0.0888918015898211,0.235365414655514,"ns","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",0.154912641194313,0.0601108656088782,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
"16","brain_substantia_nigra","chosen_Factor",0.0642395659338613,0.506924254966769,"ns","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",-0.0396003785758497,0.435484766368737,"ns","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",-0.0216424406156916,0.705190488668689,"ns","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",0.229990581673061,1.38812106925198e-05,"****","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",-0.175347962565269,0.00148044223811197,"**","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",-0.116622104425997,0.00764812169301673,"**","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",-0.19200324031923,3.67085049338384e-05,"****","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",-0.098868005244057,0.0470407708024166,"*","GDF15",0.321554376054576,3.59790136811034e-11,"****"
"24","heart_left_ventricle","chosen_Factor",-0.10931983323724,0.0358049459729358,"*","GDF15",0.320990553914715,2.73793617368817e-10,"****"
"25","kidney_cortex","chosen_Factor",-0.0559401389916729,0.690739898495545,"ns","GDF15",0.125804771455299,0.369395229441814,"ns"
"26","liver","chosen_Factor",0.102840407775841,0.154678203426026,"ns","GDF15",0.162100167517196,0.0243061377490361,"*"
"27","lung","chosen_Factor",0.170859479579124,7.95345599225017e-05,"****","GDF15",-0.0367533591847516,0.399334078645282,"ns"
"28","minor_salivary_gland","chosen_Factor",-0.159710862128368,0.0429987010414734,"*","GDF15",-0.0401122213922727,0.613415111890649,"ns"
"29","muscle_skeletal","chosen_Factor",-0.145496770918894,3.78110973985489e-05,"****","GDF15",0.259982478675933,9.19404908558013e-14,"****"
"30","nerve_tibial","chosen_Factor",-0.0562153580005181,0.188036898951832,"ns","GDF15",0.233757679010047,2.91181302835661e-08,"****"
"31","ovary","chosen_Factor",0.193475919719025,0.0119776916971125,"*","GDF15",0.251910428283747,0.000987577828351321,"***"
"32","pancreas","chosen_Factor",0.0857863159937112,0.138899920538447,"ns","GDF15",0.0300075470776763,0.605280428499354,"ns"
"33","pituitary","chosen_Factor",-0.0263697825428297,0.673333051424509,"ns","GDF15",0.306249057492455,5.26903823506399e-07,"****"
"34","prostate","chosen_Factor",0.146615558612001,0.0435349337928501,"*","GDF15",0.122834953792036,0.0913364367957666,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",0.138935472558803,0.00090006064866013,"***","GDF15",0.23208863952013,2.19721375415913e-08,"****"
"36","skin_sun_exposed_lower_leg","chosen_Factor",-0.0571855281266167,0.140123751674345,"ns","GDF15",0.222645276723525,6.15690805199979e-09,"****"
"37","small_intestine_terminal_ileum","chosen_Factor",0.178071834412763,0.0183904190812405,"*","GDF15",0.249580572949258,0.000865811732911356,"***"
"38","spleen","chosen_Factor",0.207421158823551,0.00328593056894543,"**","GDF15",0.131440959918681,0.0642330162891706,"ns"
"39","stomach","chosen_Factor",0.106128103859297,0.0632859469781799,"ns","GDF15",0.15189227765014,0.0076760346690849,"**"
"40","testis","chosen_Factor",-0.0727042655642152,0.20174014494358,"ns","GDF15",0.419392290296346,1.23050816227287e-14,"****"
"41","thyroid","chosen_Factor",0.0377423761012825,0.365069938716464,"ns","GDF15",0.444778087147356,1.99302141417484e-29,"****"
"42","uterus","chosen_Factor",-0.182671573863304,0.0398230773434835,"*","GDF15",0.242279421461664,0.00606277621699061,"**"
"43","vagina","chosen_Factor",0.0798035382010527,0.353927875938494,"ns","GDF15",0.226146209043457,0.00787840824874698,"**"
"44","whole_blood","chosen_Factor",-0.248168205463004,6.21294841488621e-12,"****","GDF15",0.201586006053195,2.79528100296524e-08,"****"
