"","Tissue","ComparisonFactor9","Spearman_Rho_chosen_Factor","P_ValueFactor9","AsterisksFactor9","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",-0.117692498546218,0.00413726940908618,"**","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",-0.335596626243753,2.76851023476918e-14,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",-0.300556298926683,1.19830803086716e-09,"****","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",-0.109065921046619,0.116840634680854,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",-0.313734446606783,1.32217411679111e-15,"****","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",0.218185897271089,0.0133549434061818,"*","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",0.0672731264111378,0.419786456801025,"ns","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.0627763477774436,0.344294928571782,"ns","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",0.0579120525152003,0.395946240766615,"ns","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",0.0593624431252749,0.420907316105479,"ns","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",0.186167728843697,0.0169967147106378,"*","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",0.0696489925714848,0.356959830624035,"ns","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",0.00907170880887825,0.893324585760969,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",-0.0291176859669069,0.698004594744697,"ns","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",0.0852346596692897,0.303006199511867,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
