"","Tissue","ComparisonFactor9","Spearman_Rho_chosen_Factor","P_ValueFactor9","AsterisksFactor9","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"16","brain_substantia_nigra","chosen_Factor",-0.0520394778864639,0.590985312593063,"ns","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",0.170337922427801,0.000730616668362501,"***","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",-0.315061640657413,1.59143844939142e-08,"****","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",-0.146935969405422,0.00588627881966714,"**","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",-0.107842663286165,0.051733158032002,"ns","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",-0.180784443805646,3.25542280763261e-05,"****","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",-0.157048154179898,0.00076451598500018,"***","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",-0.165558737162851,0.000836398990556977,"***","GDF15",0.321554376054576,3.59790136811034e-11,"****"
"24","heart_left_ventricle","chosen_Factor",-0.078828917979317,0.130668915755378,"ns","GDF15",0.320990553914715,2.73793617368817e-10,"****"
"25","kidney_cortex","chosen_Factor",0.194821826055415,0.16213107953463,"ns","GDF15",0.125804771455299,0.369395229441814,"ns"
"26","liver","chosen_Factor",0.0198949504144558,0.783607258254906,"ns","GDF15",0.162100167517196,0.0243061377490361,"*"
"27","lung","chosen_Factor",-0.00712455052597152,0.870263506055038,"ns","GDF15",-0.0367533591847516,0.399334078645282,"ns"
"28","minor_salivary_gland","chosen_Factor",0.0598302511750174,0.450896512497963,"ns","GDF15",-0.0401122213922727,0.613415111890649,"ns"
"29","muscle_skeletal","chosen_Factor",-0.152793193093706,1.49449744612681e-05,"****","GDF15",0.259982478675933,9.19404908558013e-14,"****"
"30","nerve_tibial","chosen_Factor",0.00618259149219908,0.884974484392813,"ns","GDF15",0.233757679010047,2.91181302835661e-08,"****"
"31","ovary","chosen_Factor",-0.20062940862312,0.00911773565998608,"**","GDF15",0.251910428283747,0.000987577828351321,"***"
"32","pancreas","chosen_Factor",-0.046654825260597,0.421514806161305,"ns","GDF15",0.0300075470776763,0.605280428499354,"ns"
"33","pituitary","chosen_Factor",0.115112460807033,0.0648714178376605,"ns","GDF15",0.306249057492455,5.26903823506399e-07,"****"
"34","prostate","chosen_Factor",0.112560129283637,0.122052956068126,"ns","GDF15",0.122834953792036,0.0913364367957666,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",0.0756877343427902,0.0714731806087789,"ns","GDF15",0.23208863952013,2.19721375415913e-08,"****"
"36","skin_sun_exposed_lower_leg","chosen_Factor",0.0613432909788452,0.113468851667176,"ns","GDF15",0.222645276723525,6.15690805199979e-09,"****"
"37","small_intestine_terminal_ileum","chosen_Factor",0.173467435952037,0.021690412097648,"*","GDF15",0.249580572949258,0.000865811732911356,"***"
"38","spleen","chosen_Factor",0.0231149353811218,0.745888494297255,"ns","GDF15",0.131440959918681,0.0642330162891706,"ns"
"39","stomach","chosen_Factor",-0.0705060844109087,0.218001189585027,"ns","GDF15",0.15189227765014,0.0076760346690849,"**"
"40","testis","chosen_Factor",-0.122758064694367,0.03070876280133,"*","GDF15",0.419392290296346,1.23050816227287e-14,"****"
"41","thyroid","chosen_Factor",-0.140960564078561,0.000677393337583771,"***","GDF15",0.444778087147356,1.99302141417484e-29,"****"
"42","uterus","chosen_Factor",-0.228727787296031,0.00969481076451881,"**","GDF15",0.242279421461664,0.00606277621699061,"**"
"43","vagina","chosen_Factor",-0.258415458964567,0.00229663706477122,"**","GDF15",0.226146209043457,0.00787840824874698,"**"
"44","whole_blood","chosen_Factor",-0.0588028668372893,0.108542603273705,"ns","GDF15",0.201586006053195,2.79528100296524e-08,"****"
