"","Tissue","ComparisonFactor3","Spearman_Rho_chosen_Factor","P_ValueFactor3","AsterisksFactor3","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",0.100998070980593,0.0139524803424481,"*","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",-0.207256975523782,3.98462503123515e-06,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",0.0916104874136925,0.0696563729809838,"ns","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",0.0517906325195066,0.457522463387857,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",0.161881269216448,5.20701514864301e-05,"****","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",0.0142294527611966,0.873340591198259,"ns","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",-0.130108222531042,0.117523943761046,"ns","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.05377821787477,0.417971776355101,"ns","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",-0.104848962622262,0.123597343182037,"ns","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",-0.00984427181827476,0.893911743366248,"ns","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",-0.0975650091804544,0.213922227134099,"ns","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.0504427617916077,0.504920921421004,"ns","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",-0.0592140031219272,0.380999330793693,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",-0.106076499349286,0.156409092709108,"ns","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",-0.127103341740947,0.123702145852395,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
"16","brain_substantia_nigra","chosen_Factor",-0.165167567053239,0.0861018935953829,"ns","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",0.0899972081948303,0.0758646361195344,"ns","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",-0.0879149295817453,0.123655514215593,"ns","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",-0.186102038602065,0.000465576299459479,"***","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",0.0684589553339087,0.217666264559234,"ns","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",0.187865489802269,1.55704041352886e-05,"****","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",0.042895217073757,0.360770570514477,"ns","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",-0.0379008179628615,0.447428188616369,"ns","GDF15",0.321554376054576,3.59790136811034e-11,"****"
"24","heart_left_ventricle","chosen_Factor",-0.0838012057808827,0.108024766638991,"ns","GDF15",0.320990553914715,2.73793617368817e-10,"****"
"25","kidney_cortex","chosen_Factor",0.0736989132747437,0.599961087160575,"ns","GDF15",0.125804771455299,0.369395229441814,"ns"
"26","liver","chosen_Factor",-0.0236364237524108,0.744212376382791,"ns","GDF15",0.162100167517196,0.0243061377490361,"*"
"27","lung","chosen_Factor",-0.0248994865784085,0.568081555542603,"ns","GDF15",-0.0367533591847516,0.399334078645282,"ns"
"28","minor_salivary_gland","chosen_Factor",0.0773327719934088,0.329531360499752,"ns","GDF15",-0.0401122213922727,0.613415111890649,"ns"
"29","muscle_skeletal","chosen_Factor",-0.088011517790999,0.0129904837219208,"*","GDF15",0.259982478675933,9.19404908558013e-14,"****"
"30","nerve_tibial","chosen_Factor",-0.0493340220408792,0.248067281987386,"ns","GDF15",0.233757679010047,2.91181302835661e-08,"****"
"31","ovary","chosen_Factor",-0.172610521995224,0.0252598543520954,"*","GDF15",0.251910428283747,0.000987577828351321,"***"
"32","pancreas","chosen_Factor",0.120015141192483,0.0380732301948884,"*","GDF15",0.0300075470776763,0.605280428499354,"ns"
"33","pituitary","chosen_Factor",0.15788961066654,0.0110941868417761,"*","GDF15",0.306249057492455,5.26903823506399e-07,"****"
"34","prostate","chosen_Factor",-0.266079536847751,0.000206796461901147,"***","GDF15",0.122834953792036,0.0913364367957666,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",-0.189917944644694,5.16819009511387e-06,"****","GDF15",0.23208863952013,2.19721375415913e-08,"****"
"36","skin_sun_exposed_lower_leg","chosen_Factor",-0.0328225197441749,0.397372184587863,"ns","GDF15",0.222645276723525,6.15690805199979e-09,"****"
"37","small_intestine_terminal_ileum","chosen_Factor",-0.117509042399421,0.121446904436587,"ns","GDF15",0.249580572949258,0.000865811732911356,"***"
"38","spleen","chosen_Factor",0.115837502451271,0.103252845940906,"ns","GDF15",0.131440959918681,0.0642330162891706,"ns"
