"","Tissue","ComparisonFactor12","Spearman_Rho_chosen_Factor","P_ValueFactor12","AsterisksFactor12","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",-0.170231442331972,3.13292355314124e-05,"****","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",-0.314644746490154,1.18539633769287e-12,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",-0.303520753168833,8.07627853664096e-10,"****","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",-0.211842502977947,0.00212798108942934,"**","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",-0.432474588525185,1.33336342275549e-29,"****","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",-0.257023966746334,0.00340342925810697,"**","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",-0.276518822534667,0.000728572802243389,"***","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",-0.153614397208454,0.020034154274005,"*","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",-0.363281739420132,3.58892323299012e-08,"****","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",-0.227939647768341,0.00175389594064997,"**","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",-0.269538814155023,0.000482655178883382,"***","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.154868584443504,0.0395681715801412,"*","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",-0.109476489369143,0.104559894653104,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",-0.111493000728791,0.13620736573467,"ns","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",-0.114735828943468,0.16496152012664,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
"16","brain_substantia_nigra","chosen_Factor",-0.245231514973264,0.0101655345909611,"*","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",0.0101274535940154,0.84197776908005,"ns","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",-0.072414487518777,0.205024392851462,"ns","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",-0.180377866027042,0.000698061907793744,"***","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",-0.0886633301330951,0.110074741436442,"ns","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",-0.113041639532705,0.00974364302194918,"**","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",-0.131449811162366,0.00493103941424759,"**","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",-0.0316460406757826,0.525907532054868,"ns","GDF15",0.321554376054576,3.59790136811034e-11,"****"
"24","heart_left_ventricle","chosen_Factor",-0.0221942098172739,0.670878438427889,"ns","GDF15",0.320990553914715,2.73793617368817e-10,"****"
"25","kidney_cortex","chosen_Factor",0.1294372480132,0.355620873061839,"ns","GDF15",0.125804771455299,0.369395229441814,"ns"
"26","liver","chosen_Factor",0.0226359136946273,0.754686853803975,"ns","GDF15",0.162100167517196,0.0243061377490361,"*"
"27","lung","chosen_Factor",-0.150232822794494,0.000533033112327547,"***","GDF15",-0.0367533591847516,0.399334078645282,"ns"
"28","minor_salivary_gland","chosen_Factor",-0.0311365328022724,0.694988009771802,"ns","GDF15",-0.0401122213922727,0.613415111890649,"ns"
"29","muscle_skeletal","chosen_Factor",-0.17569363099994,6.10117769870433e-07,"****","GDF15",0.259982478675933,9.19404908558013e-14,"****"
"30","nerve_tibial","chosen_Factor",-0.387102161976602,4.18993417574288e-21,"****","GDF15",0.233757679010047,2.91181302835661e-08,"****"
"31","ovary","chosen_Factor",-0.179236045435069,0.0200892072243421,"*","GDF15",0.251910428283747,0.000987577828351321,"***"
"32","pancreas","chosen_Factor",-0.106862387778887,0.0649835918167925,"ns","GDF15",0.0300075470776763,0.605280428499354,"ns"
"33","pituitary","chosen_Factor",0.0100694289186862,0.872126727276362,"ns","GDF15",0.306249057492455,5.26903823506399e-07,"****"
"34","prostate","chosen_Factor",-0.167113575344835,0.0211928642063782,"*","GDF15",0.122834953792036,0.0913364367957666,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",-0.202044186757978,1.20497858277551e-06,"****","GDF15",0.23208863952013,2.19721375415913e-08,"****"
"36","skin_sun_exposed_lower_leg","chosen_Factor",-0.153096482236053,7.18930491761672e-05,"****","GDF15",0.222645276723525,6.15690805199979e-09,"****"
"37","small_intestine_terminal_ileum","chosen_Factor",0.150130718285364,0.047360304883821,"*","GDF15",0.249580572949258,0.000865811732911356,"***"
"38","spleen","chosen_Factor",-0.177084996348709,0.0123437620793445,"*","GDF15",0.131440959918681,0.0642330162891706,"ns"
"39","stomach","chosen_Factor",-0.0996653486753622,0.0812467006699484,"ns","GDF15",0.15189227765014,0.0076760346690849,"**"
"40","testis","chosen_Factor",-0.256662837953054,4.70179077342156e-06,"****","GDF15",0.419392290296346,1.23050816227287e-14,"****"
"41","thyroid","chosen_Factor",-0.234866257756877,1.10047657918848e-08,"****","GDF15",0.444778087147356,1.99302141417484e-29,"****"
"42","uterus","chosen_Factor",-0.588209501559995,3.55507056351708e-13,"****","GDF15",0.242279421461664,0.00606277621699061,"**"
"43","vagina","chosen_Factor",-0.270916495883293,0.0013645692414723,"**","GDF15",0.226146209043457,0.00787840824874698,"**"
"44","whole_blood","chosen_Factor",0.104127702522095,0.0044131491628642,"**","GDF15",0.201586006053195,2.79528100296524e-08,"****"
