"","Tissue","ComparisonFactor1","Spearman_Rho_chosen_Factor","P_ValueFactor1","AsterisksFactor1","Comparison_ATF5","Spearman_Rho_ATF5","P_Value_ATF5","Asterisks_ATF5"
"18","colon_sigmoid","chosen_Factor",0.149573832237776,0.00856003907939112,"**","ATF5",0.106946127184404,0.0608415602017395,"ns"
"19","colon_transverse","chosen_Factor",0.221111653190157,2.9983202148362e-05,"****","ATF5",-0.0109132658441108,0.83878786075556,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",0.233499496924563,2.05559891822143e-05,"****","ATF5",0.0878061832393599,0.113569723211756,"ns"
"21","esophagus_mucosa","chosen_Factor",0.265804343685005,6.84257831306063e-10,"****","ATF5",0.0608028736453765,0.165400278393477,"ns"
"22","esophagus_muscularis","chosen_Factor",0.204643740881188,1.05929773233876e-05,"****","ATF5",0.082723555488033,0.0776194338840514,"ns"
"23","heart_atrial_appendage","chosen_Factor",0.196611352542668,6.93532921216211e-05,"****","ATF5",0.0314534529051876,0.52843049176524,"ns"
"24","heart_left_ventricle","chosen_Factor",0.230933272570269,7.40312238679987e-06,"****","ATF5",0.0646655510030599,0.215246423690983,"ns"
"25","kidney_cortex","chosen_Factor",0.296531169676638,0.031079474533903,"*","ATF5",0.165600570189635,0.235999263799064,"ns"
"26","liver","chosen_Factor",0.171433807254915,0.0171331185126327,"*","ATF5",0.058457180304351,0.419362107918188,"ns"
"27","lung","chosen_Factor",0.157691963038969,0.000275102854394537,"***","ATF5",-0.132126151884633,0.0023487151331816,"**"
"28","minor_salivary_gland","chosen_Factor",0.000418644875731703,0.995794675016972,"ns","ATF5",0.209322437865852,0.00770117895019125,"**"
"29","muscle_skeletal","chosen_Factor",0.118690214489908,0.00079288261158778,"***","ATF5",-0.0147939765642633,0.676856649346632,"ns"
"30","nerve_tibial","chosen_Factor",0.00986645083272374,0.817417376701315,"ns","ATF5",-0.0608937745770342,0.153822089450016,"ns"
"31","ovary","chosen_Factor",0.126134367890533,0.103271595785883,"ns","ATF5",0.0137017799858604,0.860075780640556,"ns"
"32","pancreas","chosen_Factor",0.146629899986727,0.0111302311955161,"*","ATF5",-0.00020235005251685,0.997219933616915,"ns"
"33","pituitary","chosen_Factor",0.247950375882244,5.66404574641027e-05,"****","ATF5",0.205770544280408,0.000884929639003355,"***"
"34","prostate","chosen_Factor",0.142299449722177,0.0501717201896686,"ns","ATF5",-0.131048862559247,0.0715070147199991,"ns"
"35","skin_not_sun_exposed_suprapubic","chosen_Factor",0.114180287445717,0.00644672771191289,"**","ATF5",-0.144835279704997,0.000535197019155073,"***"
"36","skin_sun_exposed_lower_leg","chosen_Factor",0.0307934507205672,0.427207758914965,"ns","ATF5",0.0877193677309321,0.0234765094627129,"*"
"37","small_intestine_terminal_ileum","chosen_Factor",0.213524918546996,0.00455079235231076,"**","ATF5",0.18125940873026,0.0163694605285318,"*"
"38","spleen","chosen_Factor",0.127682173709121,0.0723046726893575,"ns","ATF5",-0.035546202784363,0.618174253509865,"ns"
"39","stomach","chosen_Factor",0.0513315082379198,0.370080386896913,"ns","ATF5",-0.153595568718167,0.00701248250470449,"**"
"40","testis","chosen_Factor",0.25648471629053,4.77621962808403e-06,"****","ATF5",0.0144983779471641,0.799300555769693,"ns"
"41","thyroid","chosen_Factor",0.312279137137994,1.53662335877983e-14,"****","ATF5",0.01065863332679,0.79817982309063,"ns"
"42","uterus","chosen_Factor",0.171602256769101,0.0537217609058747,"ns","ATF5",-0.195625341815748,0.0275151952572201,"*"
"43","vagina","chosen_Factor",0.175924956525708,0.0397489566241367,"*","ATF5",-0.223078727715501,0.00878652115263187,"**"
"44","whole_blood","chosen_Factor",0.374600845023723,2.8916929259245e-26,"****","ATF5",0.320826276424595,2.54853073066602e-19,"****"
