"","Tissue","ComparisonFactor1","Spearman_Rho_chosen_Factor","P_ValueFactor1","AsterisksFactor1","Comparison_ATF5","Spearman_Rho_ATF5","P_Value_ATF5","Asterisks_ATF5"
"1","adipose_subcutaneous","chosen_Factor",0.175792750748906,1.69473067074616e-05,"****","ATF5",-0.191835600815531,2.5834509889788e-06,"****"
"2","adipose_visceral_omentum","chosen_Factor",0.115062665598782,0.0110494369830843,"*","ATF5",-0.209874329908537,2.98642632507472e-06,"****"
"3","artery_aorta","chosen_Factor",0.37609257096778,1.18964611024255e-14,"****","ATF5",-0.167983037188621,0.000827840996732588,"***"
"4","artery_coronary","chosen_Factor",0.11530655214627,0.0972186912574683,"ns","ATF5",-0.165306331049668,0.0170256092931147,"*"
"5","artery_tibial","chosen_Factor",0.138218645203522,0.000563805066666935,"***","ATF5",-0.160012653168727,6.36602859706018e-05,"****"
"6","brain_amygdala","chosen_Factor",0.262484272154596,0.00276063410193397,"**","ATF5",-0.0468279917122046,0.599660263817702,"ns"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",0.262928681929932,0.00134463809965399,"**","ATF5",-0.0073491001821344,0.929846935206303,"ns"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.225452393453278,0.000587314979261252,"***","ATF5",-0.119195337476243,0.0718123892192991,"ns"
"9","brain_cortex","chosen_Factor",0.282192758153251,2.45372544445844e-05,"****","ATF5",-0.150318249391181,0.0268196642378693,"*"
"10","brain_frontal_cortex_ba9","chosen_Factor",0.280918761514155,0.000102795801107035,"***","ATF5",-0.0404345974627364,0.583718656431801,"ns"
"11","brain_hippocampus","chosen_Factor",0.192337815699771,0.0136110298899196,"*","ATF5",-0.149539478129889,0.0559850150164902,"ns"
"12","brain_hypothalamus","chosen_Factor",0.312470392433605,2.29359647541478e-05,"****","ATF5",0.0218365386558735,0.772969930733101,"ns"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",0.241877364404001,0.000284064639842191,"***","ATF5",-0.10018331579268,0.137643511494864,"ns"
"14","brain_putamen_basal_ganglia","chosen_Factor",0.208831413425916,0.0049030532512804,"**","ATF5",-0.0666376952374828,0.374111440960168,"ns"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",0.127779719051567,0.121699794373904,"ns","ATF5",0.100780219282423,0.222937470678387,"ns"
"16","brain_substantia_nigra","chosen_Factor",0.153348006666506,0.111390601690912,"ns","ATF5",0.0136247464842748,0.888175594592851,"ns"
"17","breast_mammary_tissue","chosen_Factor",0.309807952420122,4.02418858894806e-10,"****","ATF5",0.0118306597755407,0.815842926487096,"ns"
