"","Tissue","ComparisonFactor2","Spearman_Rho_chosen_Factor","P_ValueFactor2","AsterisksFactor2","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",-0.140610545798575,0.000601290435579484,"***","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",-0.253242938919105,1.4544131647404e-08,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",-0.11443268082967,0.0232822600089635,"*","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",-0.0936421609162282,0.178513582930568,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",-0.316479453324464,7.24922707732696e-16,"****","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",-0.0179880680264855,0.840282881714216,"ns","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",-0.176874521720006,0.0327054340433433,"*","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",-0.0957799938236684,0.148512263411826,"ns","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",-0.143503822085448,0.0346280899621113,"*","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",-0.0880365565726266,0.232131550130237,"ns","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",-0.0560538089348525,0.475901967317776,"ns","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.0320121901712091,0.672305925540737,"ns","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",0.0302143603394026,0.655074647073545,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
