"","Tissue","ComparisonFactor8","Spearman_Rho_chosen_Factor","P_ValueFactor8","AsterisksFactor8","Comparison_GDF15","Spearman_Rho_GDF15","P_Value_GDF15","Asterisks_GDF15"
"1","adipose_subcutaneous","chosen_Factor",0.0375135163171405,0.362224323810295,"ns","GDF15",0.275680353829911,8.7236841889757e-12,"****"
"2","adipose_visceral_omentum","chosen_Factor",-0.316464920482793,8.65155980905139e-13,"****","GDF15",0.407638471552486,6.39165028791017e-21,"****"
"3","artery_aorta","chosen_Factor",-0.223540123857079,7.67205045954923e-06,"****","GDF15",0.346052141629474,1.69408419869032e-12,"****"
"4","artery_coronary","chosen_Factor",-0.101793080355268,0.143457373982197,"ns","GDF15",0.273405431347501,6.44910525151122e-05,"****"
"5","artery_tibial","chosen_Factor",-0.254104095540007,1.40968559457569e-10,"****","GDF15",0.248532792814399,3.62072833631236e-10,"****"
"6","brain_amygdala","chosen_Factor",0.0238064732123101,0.789673094295707,"ns","GDF15",0.221592142355257,0.0119448822805058,"*"
"7","brain_anterior_cingulate_cortex_ba24","chosen_Factor",-0.0928357175883965,0.265062591645337,"ns","GDF15",0.265362938649047,0.00120764342037867,"**"
"8","brain_caudate_basal_ganglia","chosen_Factor",0.0234298478917598,0.724338761983885,"ns","GDF15",0.243112555026476,0.000203433288993572,"***"
"9","brain_cortex","chosen_Factor",-0.0239304302012197,0.725939909791369,"ns","GDF15",0.243523792578685,0.000293149491894139,"***"
"10","brain_frontal_cortex_ba9","chosen_Factor",-0.0377884885592748,0.608598527911822,"ns","GDF15",0.257151383342111,0.00039528945857286,"***"
"11","brain_hippocampus","chosen_Factor",-0.00947033419653082,0.904202328884054,"ns","GDF15",0.278206900855257,0.000309743907056647,"***"
"12","brain_hypothalamus","chosen_Factor",-0.103846244927984,0.168971059977315,"ns","GDF15",0.227012469534931,0.00237697674437387,"**"
"13","brain_nucleus_accumbens_basal_ganglia","chosen_Factor",-0.11250910993029,0.095239407223354,"ns","GDF15",0.220277315790676,0.000978368285318616,"***"
"14","brain_putamen_basal_ganglia","chosen_Factor",-0.081243400896876,0.278278690681556,"ns","GDF15",0.171917014121332,0.0210187102221483,"*"
"15","brain_spinal_cord_cervical_c-1","chosen_Factor",0.127138550422869,0.123597289852323,"ns","GDF15",0.254970155953059,0.0017635881517489,"**"
"16","brain_substantia_nigra","chosen_Factor",-0.0340247415608662,0.725411994564894,"ns","GDF15",0.245421778803597,0.0101053210066018,"*"
"17","breast_mammary_tissue","chosen_Factor",0.176347768064698,0.000467234337526909,"***","GDF15",0.364575477671344,1.05295482674567e-13,"****"
"18","colon_sigmoid","chosen_Factor",-0.285367097049129,3.50357956605259e-07,"****","GDF15",0.123654507955313,0.0300343399770405,"*"
"19","colon_transverse","chosen_Factor",0.00535485305407679,0.920485270660589,"ns","GDF15",0.04603880028184,0.390516359001406,"ns"
"20","esophagus_gastroesophageal_junction","chosen_Factor",-0.158651877700255,0.00408217316293269,"**","GDF15",0.329773362768277,1.04159222699639e-09,"****"
"21","esophagus_mucosa","chosen_Factor",-0.147385297080401,0.000730814286940654,"***","GDF15",0.267185620078556,5.54105147212903e-10,"****"
"22","esophagus_muscularis","chosen_Factor",-0.179753134223246,0.000113655748517566,"***","GDF15",0.338601964677607,1.07491754522525e-13,"****"
"23","heart_atrial_appendage","chosen_Factor",-0.0837285121401948,0.0928289774447597,"ns","GDF15",0.321554376054576,3.59790136811034e-11,"****"
